sub_sector_code,code,name_ar,name_en,description,sort_order
clinics,dental_clinics,عيادات الأسنان,Dental Clinics,General dental clinics and cosmetic dentistry,1
clinics,dermatology_clinics,عيادات الجلدية,Dermatology Clinics,Skin care and cosmetic clinics,2
clinics,pediatric_clinics,عيادات الأطفال,Pediatric Clinics,Children medical clinics,3
clinics,ophthalmology_clinics,عيادات العيون,Ophthalmology Clinics,Eye care clinics,4
financial_banking_banking,financial_banking_banking_activity,نشاط الخدمات المصرفية,Banking Services Activity,Main activity for Banking Services,5
financial_banking_insurance,financial_banking_insurance_activity,نشاط التأمين,Insurance Activity,Main activity for Insurance,6
financial_banking_fintech,financial_banking_fintech_activity,نشاط التقنية المالية,Fintech Activity,Main activity for Fintech,7
financial_banking_investment,financial_banking_investment_activity,نشاط الاستثمار,Investment Activity,Main activity for Investment,8
insurance_banking,insurance_banking_activity,نشاط الخدمات المصرفية,Banking Services Activity,Main activity for Banking Services,9
insurance_insurance,insurance_insurance_activity,نشاط التأمين,Insurance Activity,Main activity for Insurance,10
insurance_fintech,insurance_fintech_activity,نشاط التقنية المالية,Fintech Activity,Main activity for Fintech,11
insurance_investment,insurance_investment_activity,نشاط الاستثمار,Investment Activity,Main activity for Investment,12
awqaf_consulting,awqaf_consulting_activity,نشاط الاستشارات,Consulting Activity,Main activity for Consulting,13
awqaf_maintenance,awqaf_maintenance_activity,نشاط الصيانة,Maintenance Activity,Main activity for Maintenance,14
awqaf_cleaning,awqaf_cleaning_activity,نشاط النظافة,Cleaning Services Activity,Main activity for Cleaning Services,15
awqaf_security,awqaf_security_activity,نشاط الأمن والحراسة,Security Services Activity,Main activity for Security Services,16
education_schools,education_schools_activity,نشاط المدارس,Schools Activity,Main activity for Schools,17
education_training,education_training_activity,نشاط مراكز التدريب,Training Centers Activity,Main activity for Training Centers,18
education_universities,education_universities_activity,نشاط الجامعات,Universities Activity,Main activity for Universities,19
education_elearning,education_elearning_activity,نشاط التعليم الإلكتروني,E-Learning Activity,Main activity for E-Learning,20
industrial_factories,industrial_factories_activity,نشاط المصانع,Factories Activity,Main activity for Factories,21
industrial_workshops,industrial_workshops_activity,نشاط الورش,Workshops Activity,Main activity for Workshops,22
industrial_assembly,industrial_assembly_activity,نشاط التجميع,Assembly Activity,Main activity for Assembly,23
industrial_packaging,industrial_packaging_activity,نشاط التعبئة والتغليف,Packaging Activity,Main activity for Packaging,24
food_industries_restaurants,food_industries_restaurants_activity,نشاط المطاعم,Restaurants Activity,Main activity for Restaurants,25
food_industries_cafes,food_industries_cafes_activity,نشاط المقاهي,Cafes Activity,Main activity for Cafes,26
food_industries_catering,food_industries_catering_activity,نشاط التموين,Catering Activity,Main activity for Catering,27
food_industries_fast_food,food_industries_fast_food_activity,نشاط الوجبات السريعة,Fast Food Activity,Main activity for Fast Food,28
pharmaceutical_industries_consulting,pharmaceutical_industries_consulting_activity,نشاط الاستشارات,Consulting Activity,Main activity for Consulting,29
pharmaceutical_industries_maintenance,pharmaceutical_industries_maintenance_activity,نشاط الصيانة,Maintenance Activity,Main activity for Maintenance,30
pharmaceutical_industries_cleaning,pharmaceutical_industries_cleaning_activity,نشاط النظافة,Cleaning Services Activity,Main activity for Cleaning Services,31
pharmaceutical_industries_security,pharmaceutical_industries_security_activity,نشاط الأمن والحراسة,Security Services Activity,Main activity for Security Services,32
chemical_industries_consulting,chemical_industries_consulting_activity,نشاط الاستشارات,Consulting Activity,Main activity for Consulting,33
chemical_industries_maintenance,chemical_industries_maintenance_activity,نشاط الصيانة,Maintenance Activity,Main activity for Maintenance,34
chemical_industries_cleaning,chemical_industries_cleaning_activity,نشاط النظافة,Cleaning Services Activity,Main activity for Cleaning Services,35
chemical_industries_security,chemical_industries_security_activity,نشاط الأمن والحراسة,Security Services Activity,Main activity for Security Services,36
mining_consulting,mining_consulting_activity,نشاط الاستشارات,Consulting Activity,Main activity for Consulting,37
