activity_code,code,name_ar,name_en,description,sort_order
dental_clinics,small_dental_clinic,عيادة أسنان صغيرة,Small Dental Clinic,1-2 chairs single dentist,1
dental_clinics,medium_dental_clinic,عيادة أسنان متوسطة,Medium Dental Clinic,3-5 chairs multiple dentists,2
dental_clinics,large_dental_clinic,عيادة أسنان كبيرة,Large Dental Clinic,6+ chairs full specialists team,3
financial_banking_banking_activity,financial_banking_banking_activity_small,الخدمات المصرفية صغير,Small Banking Services,Small scale operation,4
financial_banking_banking_activity,financial_banking_banking_activity_medium,الخدمات المصرفية متوسط,Medium Banking Services,Medium scale operation,5
financial_banking_banking_activity,financial_banking_banking_activity_large,الخدمات المصرفية كبير,Large Banking Services,Large scale operation,6
financial_banking_insurance_activity,financial_banking_insurance_activity_small,التأمين صغير,Small Insurance,Small scale operation,7
financial_banking_insurance_activity,financial_banking_insurance_activity_medium,التأمين متوسط,Medium Insurance,Medium scale operation,8
financial_banking_insurance_activity,financial_banking_insurance_activity_large,التأمين كبير,Large Insurance,Large scale operation,9
financial_banking_fintech_activity,financial_banking_fintech_activity_small,التقنية المالية صغير,Small Fintech,Small scale operation,10
financial_banking_fintech_activity,financial_banking_fintech_activity_medium,التقنية المالية متوسط,Medium Fintech,Medium scale operation,11
financial_banking_fintech_activity,financial_banking_fintech_activity_large,التقنية المالية كبير,Large Fintech,Large scale operation,12
financial_banking_investment_activity,financial_banking_investment_activity_small,الاستثمار صغير,Small Investment,Small scale operation,13
financial_banking_investment_activity,financial_banking_investment_activity_medium,الاستثمار متوسط,Medium Investment,Medium scale operation,14
financial_banking_investment_activity,financial_banking_investment_activity_large,الاستثمار كبير,Large Investment,Large scale operation,15
insurance_banking_activity,insurance_banking_activity_small,الخدمات المصرفية صغير,Small Banking Services,Small scale operation,16
insurance_banking_activity,insurance_banking_activity_medium,الخدمات المصرفية متوسط,Medium Banking Services,Medium scale operation,17
insurance_banking_activity,insurance_banking_activity_large,الخدمات المصرفية كبير,Large Banking Services,Large scale operation,18
insurance_insurance_activity,insurance_insurance_activity_small,التأمين صغير,Small Insurance,Small scale operation,19
insurance_insurance_activity,insurance_insurance_activity_medium,التأمين متوسط,Medium Insurance,Medium scale operation,20
insurance_insurance_activity,insurance_insurance_activity_large,التأمين كبير,Large Insurance,Large scale operation,21
insurance_fintech_activity,insurance_fintech_activity_small,التقنية المالية صغير,Small Fintech,Small scale operation,22
insurance_fintech_activity,insurance_fintech_activity_medium,التقنية المالية متوسط,Medium Fintech,Medium scale operation,23
insurance_fintech_activity,insurance_fintech_activity_large,التقنية المالية كبير,Large Fintech,Large scale operation,24
insurance_investment_activity,insurance_investment_activity_small,الاستثمار صغير,Small Investment,Small scale operation,25
insurance_investment_activity,insurance_investment_activity_medium,الاستثمار متوسط,Medium Investment,Medium scale operation,26
insurance_investment_activity,insurance_investment_activity_large,الاستثمار كبير,Large Investment,Large scale operation,27
awqaf_consulting_activity,awqaf_consulting_activity_small,الاستشارات صغير,Small Consulting,Small scale operation,28
awqaf_consulting_activity,awqaf_consulting_activity_medium,الاستشارات متوسط,Medium Consulting,Medium scale operation,29
awqaf_consulting_activity,awqaf_consulting_activity_large,الاستشارات كبير,Large Consulting,Large scale operation,30
awqaf_maintenance_activity,awqaf_maintenance_activity_small,الصيانة صغير,Small Maintenance,Small scale operation,31
awqaf_maintenance_activity,awqaf_maintenance_activity_medium,الصيانة متوسط,Medium Maintenance,Medium scale operation,32
awqaf_maintenance_activity,awqaf_maintenance_activity_large,الصيانة كبير,Large Maintenance,Large scale operation,33
awqaf_cleaning_activity,awqaf_cleaning_activity_small,النظافة صغير,Small Cleaning Services,Small scale operation,34
awqaf_cleaning_activity,awqaf_cleaning_activity_medium,النظافة متوسط,Medium Cleaning Services,Medium scale operation,35
awqaf_cleaning_activity,awqaf_cleaning_activity_large,النظافة كبير,Large Cleaning Services,Large scale operation,36
awqaf_security_activity,awqaf_security_activity_small,الأمن والحراسة صغير,Small Security Services,Small scale operation,37
awqaf_security_activity,awqaf_security_activity_medium,الأمن والحراسة متوسط,Medium Security Services,Medium scale operation,38
awqaf_security_activity,awqaf_security_activity_large,الأمن والحراسة كبير,Large Security Services,Large scale operation,39
education_schools_activity,education_schools_activity_small,المدارس صغير,Small Schools,Small scale operation,40
education_schools_activity,education_schools_activity_medium,المدارس متوسط,Medium Schools,Medium scale operation,41
education_schools_activity,education_schools_activity_large,المدارس كبير,Large Schools,Large scale operation,42
education_training_activity,education_training_activity_small,مراكز التدريب صغير,Small Training Centers,Small scale operation,43
education_training_activity,education_training_activity_medium,مراكز التدريب متوسط,Medium Training Centers,Medium scale operation,44
education_training_activity,education_training_activity_large,مراكز التدريب كبير,Large Training Centers,Large scale operation,45
education_universities_activity,education_universities_activity_small,الجامعات صغير,Small Universities,Small scale operation,46
education_universities_activity,education_universities_activity_medium,الجامعات متوسط,Medium Universities,Medium scale operation,47
education_universities_activity,education_universities_activity_large,الجامعات كبير,Large Universities,Large scale operation,48
education_elearning_activity,education_elearning_activity_small,التعليم الإلكتروني صغير,Small E-Learning,Small scale operation,49
education_elearning_activity,education_elearning_activity_medium,التعليم الإلكتروني متوسط,Medium E-Learning,Medium scale operation,50
education_elearning_activity,education_elearning_activity_large,التعليم الإلكتروني كبير,Large E-Learning,Large scale operation,51
industrial_factories_activity,industrial_factories_activity_small,المصانع صغير,Small Factories,Small scale operation,52
industrial_factories_activity,industrial_factories_activity_medium,المصانع متوسط,Medium Factories,Medium scale operation,53
industrial_factories_activity,industrial_factories_activity_large,المصانع كبير,Large Factories,Large scale operation,54
industrial_workshops_activity,industrial_workshops_activity_small,الورش صغير,Small Workshops,Small scale operation,55
industrial_workshops_activity,industrial_workshops_activity_medium,الورش متوسط,Medium Workshops,Medium scale operation,56
industrial_workshops_activity,industrial_workshops_activity_large,الورش كبير,Large Workshops,Large scale operation,57
industrial_assembly_activity,industrial_assembly_activity_small,التجميع صغير,Small Assembly,Small scale operation,58
industrial_assembly_activity,industrial_assembly_activity_medium,التجميع متوسط,Medium Assembly,Medium scale operation,59
industrial_assembly_activity,industrial_assembly_activity_large,التجميع كبير,Large Assembly,Large scale operation,60
