activity_detail_code,code,name_ar,name_en,size_category,model_type,capex_min,capex_max,revenue_min,revenue_max,employee_count_min,employee_count_max,typical_roi_months,is_published
small_dental_clinic,small_dental_clinic_model,نموذج عيادة أسنان صغيرة,Small Dental Clinic Model,small,greenfield,250000,450000,400000,700000,2,4,18,true
medium_dental_clinic,medium_dental_clinic_model,نموذج عيادة أسنان متوسطة,Medium Dental Clinic Model,medium,greenfield,600000,1200000,1000000,2000000,5,10,24,true
large_dental_clinic,large_dental_clinic_model,نموذج عيادة أسنان كبيرة,Large Dental Clinic Model,large,greenfield,1500000,3000000,2500000,5000000,12,25,36,true
financial_banking_banking_activity_small,financial_banking_banking_activity_small_model,نموذج الخدمات المصرفية صغير,Small Banking Services Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
financial_banking_banking_activity_medium,financial_banking_banking_activity_medium_model,نموذج الخدمات المصرفية متوسط,Medium Banking Services Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
financial_banking_banking_activity_large,financial_banking_banking_activity_large_model,نموذج الخدمات المصرفية كبير,Large Banking Services Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
financial_banking_insurance_activity_small,financial_banking_insurance_activity_small_model,نموذج التأمين صغير,Small Insurance Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
financial_banking_insurance_activity_medium,financial_banking_insurance_activity_medium_model,نموذج التأمين متوسط,Medium Insurance Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
financial_banking_insurance_activity_large,financial_banking_insurance_activity_large_model,نموذج التأمين كبير,Large Insurance Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
financial_banking_fintech_activity_small,financial_banking_fintech_activity_small_model,نموذج التقنية المالية صغير,Small Fintech Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
financial_banking_fintech_activity_medium,financial_banking_fintech_activity_medium_model,نموذج التقنية المالية متوسط,Medium Fintech Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
financial_banking_fintech_activity_large,financial_banking_fintech_activity_large_model,نموذج التقنية المالية كبير,Large Fintech Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
financial_banking_investment_activity_small,financial_banking_investment_activity_small_model,نموذج الاستثمار صغير,Small Investment Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
financial_banking_investment_activity_medium,financial_banking_investment_activity_medium_model,نموذج الاستثمار متوسط,Medium Investment Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
financial_banking_investment_activity_large,financial_banking_investment_activity_large_model,نموذج الاستثمار كبير,Large Investment Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
insurance_banking_activity_small,insurance_banking_activity_small_model,نموذج الخدمات المصرفية صغير,Small Banking Services Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
insurance_banking_activity_medium,insurance_banking_activity_medium_model,نموذج الخدمات المصرفية متوسط,Medium Banking Services Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
insurance_banking_activity_large,insurance_banking_activity_large_model,نموذج الخدمات المصرفية كبير,Large Banking Services Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
insurance_insurance_activity_small,insurance_insurance_activity_small_model,نموذج التأمين صغير,Small Insurance Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
insurance_insurance_activity_medium,insurance_insurance_activity_medium_model,نموذج التأمين متوسط,Medium Insurance Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
insurance_insurance_activity_large,insurance_insurance_activity_large_model,نموذج التأمين كبير,Large Insurance Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
insurance_fintech_activity_small,insurance_fintech_activity_small_model,نموذج التقنية المالية صغير,Small Fintech Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
insurance_fintech_activity_medium,insurance_fintech_activity_medium_model,نموذج التقنية المالية متوسط,Medium Fintech Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
insurance_fintech_activity_large,insurance_fintech_activity_large_model,نموذج التقنية المالية كبير,Large Fintech Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
insurance_investment_activity_small,insurance_investment_activity_small_model,نموذج الاستثمار صغير,Small Investment Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
insurance_investment_activity_medium,insurance_investment_activity_medium_model,نموذج الاستثمار متوسط,Medium Investment Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
insurance_investment_activity_large,insurance_investment_activity_large_model,نموذج الاستثمار كبير,Large Investment Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
awqaf_consulting_activity_small,awqaf_consulting_activity_small_model,نموذج الاستشارات صغير,Small Consulting Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
awqaf_consulting_activity_medium,awqaf_consulting_activity_medium_model,نموذج الاستشارات متوسط,Medium Consulting Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
