sector_code,code,name_ar,name_en,description,sort_order
healthcare,clinics,العيادات,Clinics,Outpatient medical clinics,1
healthcare,hospitals,المستشفيات,Hospitals,Inpatient hospitals and medical centers,2
healthcare,pharmacies,الصيدليات,Pharmacies,Retail pharmacies,3
healthcare,medical_labs,المختبرات الطبية,Medical Labs,Diagnostic laboratories,4
healthcare,dental_centers,مراكز الأسنان,Dental Centers,Dental clinics and centers,5
financial_banking,financial_banking_banking,الخدمات المصرفية - القطاع المالي والمصرفي,Banking Services - Financial & Banking,Banking Services within Financial & Banking,6
financial_banking,financial_banking_insurance,التأمين - القطاع المالي والمصرفي,Insurance - Financial & Banking,Insurance within Financial & Banking,7
financial_banking,financial_banking_fintech,التقنية المالية - القطاع المالي والمصرفي,Fintech - Financial & Banking,Fintech within Financial & Banking,8
financial_banking,financial_banking_investment,الاستثمار - القطاع المالي والمصرفي,Investment - Financial & Banking,Investment within Financial & Banking,9
insurance,insurance_banking,الخدمات المصرفية - التأمين,Banking Services - Insurance,Banking Services within Insurance,10
insurance,insurance_insurance,التأمين - التأمين,Insurance - Insurance,Insurance within Insurance,11
insurance,insurance_fintech,التقنية المالية - التأمين,Fintech - Insurance,Fintech within Insurance,12
insurance,insurance_investment,الاستثمار - التأمين,Investment - Insurance,Investment within Insurance,13
awqaf,awqaf_consulting,الاستشارات - الأوقاف,Consulting - Awqaf & Endowments,Consulting within Awqaf & Endowments,14
awqaf,awqaf_maintenance,الصيانة - الأوقاف,Maintenance - Awqaf & Endowments,Maintenance within Awqaf & Endowments,15
awqaf,awqaf_cleaning,النظافة - الأوقاف,Cleaning Services - Awqaf & Endowments,Cleaning Services within Awqaf & Endowments,16
awqaf,awqaf_security,الأمن والحراسة - الأوقاف,Security Services - Awqaf & Endowments,Security Services within Awqaf & Endowments,17
education,education_schools,المدارس - التعليمي,Schools - Education,Schools within Education,18
education,education_training,مراكز التدريب - التعليمي,Training Centers - Education,Training Centers within Education,19
education,education_universities,الجامعات - التعليمي,Universities - Education,Universities within Education,20
education,education_elearning,التعليم الإلكتروني - التعليمي,E-Learning - Education,E-Learning within Education,21
industrial,industrial_factories,المصانع - الصناعي,Factories - General Industry,Factories within General Industry,22
industrial,industrial_workshops,الورش - الصناعي,Workshops - General Industry,Workshops within General Industry,23
industrial,industrial_assembly,التجميع - الصناعي,Assembly - General Industry,Assembly within General Industry,24
industrial,industrial_packaging,التعبئة والتغليف - الصناعي,Packaging - General Industry,Packaging within General Industry,25
food_industries,food_industries_restaurants,المطاعم - الصناعات الغذائية,Restaurants - Food Industries,Restaurants within Food Industries,26
food_industries,food_industries_cafes,المقاهي - الصناعات الغذائية,Cafes - Food Industries,Cafes within Food Industries,27
food_industries,food_industries_catering,التموين - الصناعات الغذائية,Catering - Food Industries,Catering within Food Industries,28
food_industries,food_industries_fast_food,الوجبات السريعة - الصناعات الغذائية,Fast Food - Food Industries,Fast Food within Food Industries,29
pharmaceutical_industries,pharmaceutical_industries_consulting,الاستشارات - الصناعات الدوائية,Consulting - Pharmaceutical Industries,Consulting within Pharmaceutical Industries,30
pharmaceutical_industries,pharmaceutical_industries_maintenance,الصيانة - الصناعات الدوائية,Maintenance - Pharmaceutical Industries,Maintenance within Pharmaceutical Industries,31
pharmaceutical_industries,pharmaceutical_industries_cleaning,النظافة - الصناعات الدوائية,Cleaning Services - Pharmaceutical Industries,Cleaning Services within Pharmaceutical Industries,32
pharmaceutical_industries,pharmaceutical_industries_security,الأمن والحراسة - الصناعات الدوائية,Security Services - Pharmaceutical Industries,Security Services within Pharmaceutical Industries,33
chemical_industries,chemical_industries_consulting,الاستشارات - الصناعات الكيميائية,Consulting - Chemical Industries,Consulting within Chemical Industries,34
chemical_industries,chemical_industries_maintenance,الصيانة - الصناعات الكيميائية,Maintenance - Chemical Industries,Maintenance within Chemical Industries,35
chemical_industries,chemical_industries_cleaning,النظافة - الصناعات الكيميائية,Cleaning Services - Chemical Industries,Cleaning Services within Chemical Industries,36
chemical_industries,chemical_industries_security,الأمن والحراسة - الصناعات الكيميائية,Security Services - Chemical Industries,Security Services within Chemical Industries,37
mining,mining_consulting,الاستشارات - التعدين,Consulting - Mining,Consulting within Mining,38
mining,mining_maintenance,الصيانة - التعدين,Maintenance - Mining,Maintenance within Mining,39
mining,mining_cleaning,النظافة - التعدين,Cleaning Services - Mining,Cleaning Services within Mining,40
mining,mining_security,الأمن والحراسة - التعدين,Security Services - Mining,Security Services within Mining,41
geology,geology_consulting,الاستشارات - الجيولوجيا,Consulting - Geology,Consulting within Geology,42
geology,geology_maintenance,الصيانة - الجيولوجيا,Maintenance - Geology,Maintenance within Geology,43
geology,geology_cleaning,النظافة - الجيولوجيا,Cleaning Services - Geology,Cleaning Services within Geology,44
geology,geology_security,الأمن والحراسة - الجيولوجيا,Security Services - Geology,Security Services within Geology,45
oil_gas,oil_gas_renewable,الطاقة المتجددة - النفط والغاز,Renewable Energy - Oil & Gas,Renewable Energy within Oil & Gas,46
oil_gas,oil_gas_oil_gas,النفط والغاز - النفط والغاز,Oil & Gas - Oil & Gas,Oil & Gas within Oil & Gas,47
oil_gas,oil_gas_utilities,الخدمات العامة - النفط والغاز,Utilities - Oil & Gas,Utilities within Oil & Gas,48
oil_gas,oil_gas_efficiency,كفاءة الطاقة - النفط والغاز,Energy Efficiency - Oil & Gas,Energy Efficiency within Oil & Gas,49
oil_refineries,oil_refineries_renewable,الطاقة المتجددة - مصافي النفط,Renewable Energy - Oil Refineries,Renewable Energy within Oil Refineries,50
oil_refineries,oil_refineries_oil_gas,النفط والغاز - مصافي النفط,Oil & Gas - Oil Refineries,Oil & Gas within Oil Refineries,51
oil_refineries,oil_refineries_utilities,الخدمات العامة - مصافي النفط,Utilities - Oil Refineries,Utilities within Oil Refineries,52
oil_refineries,oil_refineries_efficiency,كفاءة الطاقة - مصافي النفط,Energy Efficiency - Oil Refineries,Energy Efficiency within Oil Refineries,53
metal_refineries,metal_refineries_consulting,الاستشارات - مصافي المعادن,Consulting - Metal Refineries,Consulting within Metal Refineries,54
metal_refineries,metal_refineries_maintenance,الصيانة - مصافي المعادن,Maintenance - Metal Refineries,Maintenance within Metal Refineries,55
metal_refineries,metal_refineries_cleaning,النظافة - مصافي المعادن,Cleaning Services - Metal Refineries,Cleaning Services within Metal Refineries,56
metal_refineries,metal_refineries_security,الأمن والحراسة - مصافي المعادن,Security Services - Metal Refineries,Security Services within Metal Refineries,57
water,water_consulting,الاستشارات - المياه,Consulting - Water,Consulting within Water,58
water,water_maintenance,الصيانة - المياه,Maintenance - Water,Maintenance within Water,59
water,water_cleaning,النظافة - المياه,Cleaning Services - Water,Cleaning Services within Water,60
water,water_security,الأمن والحراسة - المياه,Security Services - Water,Security Services within Water,61
well_drilling,well_drilling_consulting,الاستشارات - حفر الآبار,Consulting - Well Drilling,Consulting within Well Drilling,62
well_drilling,well_drilling_maintenance,الصيانة - حفر الآبار,Maintenance - Well Drilling,Maintenance within Well Drilling,63
well_drilling,well_drilling_cleaning,النظافة - حفر الآبار,Cleaning Services - Well Drilling,Cleaning Services within Well Drilling,64
well_drilling,well_drilling_security,الأمن والحراسة - حفر الآبار,Security Services - Well Drilling,Security Services within Well Drilling,65
agriculture,agriculture_farming,الزراعة - الزراعة,Farming - Agriculture,Farming within Agriculture,66
agriculture,agriculture_livestock,تربية الحيوان - الزراعة,Livestock - Agriculture,Livestock within Agriculture,67
agriculture,agriculture_processing,تجهيز المنتجات - الزراعة,Processing - Agriculture,Processing within Agriculture,68
agriculture,agriculture_distribution,التوزيع - الزراعة,Distribution - Agriculture,Distribution within Agriculture,69
agricultural_inputs,agricultural_inputs_farming,الزراعة - المدخلات الزراعية,Farming - Agricultural Inputs,Farming within Agricultural Inputs,70
agricultural_inputs,agricultural_inputs_livestock,تربية الحيوان - المدخلات الزراعية,Livestock - Agricultural Inputs,Livestock within Agricultural Inputs,71
agricultural_inputs,agricultural_inputs_processing,تجهيز المنتجات - المدخلات الزراعية,Processing - Agricultural Inputs,Processing within Agricultural Inputs,72
agricultural_inputs,agricultural_inputs_distribution,التوزيع - المدخلات الزراعية,Distribution - Agricultural Inputs,Distribution within Agricultural Inputs,73
desertification_control,desertification_control_consulting,الاستشارات - مكافحة التصحر,Consulting - Desertification Control,Consulting within Desertification Control,74
desertification_control,desertification_control_maintenance,الصيانة - مكافحة التصحر,Maintenance - Desertification Control,Maintenance within Desertification Control,75
desertification_control,desertification_control_cleaning,النظافة - مكافحة التصحر,Cleaning Services - Desertification Control,Cleaning Services within Desertification Control,76
desertification_control,desertification_control_security,الأمن والحراسة - مكافحة التصحر,Security Services - Desertification Control,Security Services within Desertification Control,77
livestock,livestock_farming,الزراعة - الثروة الحيوانية,Farming - Livestock,Farming within Livestock,78
livestock,livestock_livestock,تربية الحيوان - الثروة الحيوانية,Livestock - Livestock,Livestock within Livestock,79
livestock,livestock_processing,تجهيز المنتجات - الثروة الحيوانية,Processing - Livestock,Processing within Livestock,80
livestock,livestock_distribution,التوزيع - الثروة الحيوانية,Distribution - Livestock,Distribution within Livestock,81
poultry,poultry_consulting,الاستشارات - الدواجن,Consulting - Poultry,Consulting within Poultry,82
poultry,poultry_maintenance,الصيانة - الدواجن,Maintenance - Poultry,Maintenance within Poultry,83
