code,name_ar,name_en,region,population,avg_household_income,purchasing_power_index
DZ-98-001,قسطنطين,Constantine,الجزائر,448374,,
DZ-98-002,سيدي عيسى,Sidi Aissa,الجزائر,215000,,
DZ-98-003,ولاية سيدي بلعباس,Sidi Bel Abbes,الجزائر,212935,,
DZ-98-004,ولاية بسكرة,Biskra,الجزائر,204661,,
DZ-98-005,ولاية تبسة,Tebessa,الجزائر,194461,,
DZ-98-006,ولاية ورقلة,Ouargla,الجزائر,191136,,
DZ-98-007,ولاية تيارت,Tiaret,الجزائر,178915,,
DZ-98-008,ولاية بشار,Bechar,الجزائر,165627,,
DZ-98-009,ولاية سكيكدة,Skikda,الجزائر,163318,,
DZ-98-010,ولاية الجلفة,Djelfa,الجزائر,158679,,
DZ-98-011,ولاية الشلف,Chlef,الجزائر,155134,,
DZ-98-012,برج الكيفان,Bordj el Kiffan,الجزائر,151950,,
DZ-98-013,تقرت,Touggourt,الجزائر,143270,,
DZ-98-014,ميدي,Medea,الجزائر,138355,,
DZ-98-015,ولاية الوادي,El Oued,الجزائر,134699,,
DZ-98-016,ولاية الأغواط,Laghouat,الجزائر,134372,,
DZ-98-017,ولاية المسيلة,M'Sila,الجزائر,132975,,
DZ-98-018,ولاية جيجل,Jijel,الجزائر,131513,,
DZ-98-019,ولاية غليزان,Relizane,الجزائر,130094,,
DZ-98-020,أرمري,Baraki,الجزائر,123101,,
DZ-98-021,ولاية غرداية,Ghardaia,الجزائر,120000,,
DZ-98-022,البرواقية,Berrouaghia,الجزائر,118678,,
DZ-98-023,عين البيضاء,Ain Beida,الجزائر,116064,,
DZ-98-024,بوسعادة,Bou Saada,الجزائر,111787,,
DZ-98-025,ولاية خنشلة,Khenchela,الجزائر,108580,,
DZ-98-026,بريكة,Barika,الجزائر,104388,,
DZ-98-027,مسعد,Messaad,الجزائر,102453,,
DZ-98-028,أفلو,Aflou,الجزائر,102025,,
DZ-98-029,عين وسارة,Ain Oussera,الجزائر,101239,,
DZ-98-030,السانية,Es Senia,الجزائر,96928,,
DZ-98-031,ولاية تمنراست,Tamanrasset,الجزائر,92635,,
DZ-98-032,أرزيو,Arzew,الجزائر,91400,,
DZ-98-033,عين مليلة,Ain M'Lila,الجزائر,88441,,
DZ-98-034,حاسي بحبح,Hassi Bahbah,الجزائر,86421,,
DZ-98-035,ولاية البيض,El Bayadh,الجزائر,85577,,
DZ-98-036,المحمدية,Mohammadia,الجزائر,84700,,
DZ-98-037,خميس مليانة,Khemis Miliana,الجزائر,84574,,
DZ-98-038,الميلية,El Milia,الجزائر,83931,,
DZ-98-039,حامة بوزيان,Hamma Bouziane,الجزائر,83603,,
DZ-98-040,شلغوم العيد,Chelghoum el Aid,الجزائر,82560,,
DZ-98-041,الدار البيضاء,Dar el Beida,الجزائر,81509,,
DZ-98-042,ولاية أم البواقي,Oum el Bouaghi,الجزائر,80359,,
DZ-98-043,السوقر,Sougueur,الجزائر,78956,,
DZ-98-044,طاهر,Taher,الجزائر,78500,,
DZ-98-045,بئر خادم,Birkhadem,الجزائر,77749,,
DZ-98-046,بئر العاتر,Bir el Ater,الجزائر,77727,,
DZ-98-047,خميس الخشنة,Khemis el Khechna,الجزائر,76474,,
DZ-98-048,ولاية عين تموشنت,Ain Temouchent,الجزائر,75558,,
DZ-98-049,الشريعة,Cheria,الجزائر,75344,,
DZ-98-050,ولاية تيسمسيلت,Tissemsilt,الجزائر,75197,,
DZ-98-051,عين ولمان,Ain Oulmene,الجزائر,73831,,
DZ-98-052,جماعة دفاع عن المصالح,Sig,الجزائر,70499,,
DZ-98-053,ميلا,Mila,الجزائر,69052,,
DZ-98-054,ولاية البويرة,Bouira,الجزائر,68545,,
DZ-98-055,ولاية أدرار,Adrar,الجزائر,68276,,
DZ-98-056,دائرة قصر البخاري,Ksar el Boukhari,الجزائر,67813,,
DZ-98-057,بلدية الرغاية,Reghaia,الجزائر,66215,,
DZ-98-058,ولاية عين الدفلى,Ain Defla,الجزائر,65453,,
DZ-98-059,حجوط,Hadjout,الجزائر,65300,,
DZ-98-060,المشرية,Mecheria,الجزائر,65043,,
DZ-98-061,برج منايل,Bordj Menaiel,الجزائر,64820,,
