model_code,risk_factor_code,score
small_dental_clinic_model,competition,65
small_dental_clinic_model,regulatory,40
small_dental_clinic_model,demand,50
small_dental_clinic_model,location,60
small_dental_clinic_model,staff,45
small_dental_clinic_model,technology,35
small_dental_clinic_model,financial,55
small_dental_clinic_model,reputation,40
medium_dental_clinic_model,competition,60
medium_dental_clinic_model,regulatory,40
medium_dental_clinic_model,demand,55
medium_dental_clinic_model,location,55
medium_dental_clinic_model,staff,45
medium_dental_clinic_model,technology,35
medium_dental_clinic_model,financial,50
medium_dental_clinic_model,reputation,40
large_dental_clinic_model,competition,55
large_dental_clinic_model,regulatory,40
large_dental_clinic_model,demand,60
large_dental_clinic_model,location,50
large_dental_clinic_model,staff,40
large_dental_clinic_model,technology,35
large_dental_clinic_model,financial,45
large_dental_clinic_model,reputation,45
