code,name_ar,name_en,region,population,avg_household_income,purchasing_power_index
SA-01-001,الرياض,Riyadh,منطقة الرياض,,,
SA-01-002,الدرعية,Diriyah,منطقة الرياض,,,
SA-01-003,الخرج,Al Kharj,منطقة الرياض,,,
SA-01-004,المزاحمية,Al Muzahimiyah,منطقة الرياض,,,
SA-01-005,الحريق,Al Hariq,منطقة الرياض,,,
SA-01-006,القويعية,Al Quwayiyah,منطقة الرياض,,,
SA-01-007,وادي الدواسر,Wadi ad Dawasir,منطقة الرياض,,,
SA-01-008,الأفلاج,Al Aflaj,منطقة الرياض,,,
SA-01-009,رماح,Rumah,منطقة الرياض,,,
SA-01-010,ثادق,Thadiq,منطقة الرياض,,,
SA-01-011,حوطة بني تميم,Hawtat Bani Tamim,منطقة الرياض,,,
SA-01-012,شقراء,Shaqra,منطقة الرياض,,,
SA-01-013,المجمعة,Al Majmaah,منطقة الرياض,,,
SA-01-014,سدير,Sudair,منطقة الرياض,,,
SA-01-015,الزلفي,Al Zulfi,منطقة الرياض,,,
SA-01-016,عفيف,Afif,منطقة الرياض,,,
SA-01-017,ضرماء,Dhurma,منطقة الرياض,,,
SA-01-018,الغاط,Al Ghat,منطقة الرياض,,,
SA-01-019,السليل,As Sulayyil,منطقة الرياض,,,
SA-01-020,دومة الجندل,Dawmat al Jandal,منطقة الرياض,,,
SA-02-001,مكة المكرمة,Makkah,منطقة مكة المكرمة,,,
SA-02-002,جدة,Jeddah,منطقة مكة المكرمة,,,
SA-02-003,الطائف,Taif,منطقة مكة المكرمة,,,
SA-02-004,القنفذة,Al Qunfidhah,منطقة مكة المكرمة,,,
SA-02-005,رابغ,Rabigh,منطقة مكة المكرمة,,,
SA-02-006,الليث,Al Lith,منطقة مكة المكرمة,,,
SA-02-007,الخرمة,Al Khurmah,منطقة مكة المكرمة,,,
SA-02-008,الجموم,Al Jumum,منطقة مكة المكرمة,,,
SA-02-009,الكامل,Al Kamil,منطقة مكة المكرمة,,,
SA-02-010,العرضيات,Al Ardiyat,منطقة مكة المكرمة,,,
SA-02-011,تربة,Turbah,منطقة مكة المكرمة,,,
SA-02-012,المويه,Al Mawiyah,منطقة مكة المكرمة,,,
SA-02-013,رنية,Ranyah,منطقة مكة المكرمة,,,
SA-02-014,خليص,Khulais,منطقة مكة المكرمة,,,
SA-02-015,أضم,Adham,منطقة مكة المكرمة,,,
SA-02-016,البرك,Al Birk,منطقة مكة المكرمة,,,
SA-03-001,المدينة المنورة,Madinah,منطقة المدينة المنورة,,,
SA-03-002,ينبع,Yanbu,منطقة المدينة المنورة,,,
SA-03-003,العلا,Al Ula,منطقة المدينة المنورة,,,
SA-03-004,بدر,Badr,منطقة المدينة المنورة,,,
SA-03-005,خيبر,Khaybar,منطقة المدينة المنورة,,,
SA-03-006,المهد,Al Mahd,منطقة المدينة المنورة,,,
SA-03-007,الحناكية,Al Hinakiyah,منطقة المدينة المنورة,,,
SA-04-001,بريدة,Buraidah,منطقة القصيم,,,
SA-04-002,عنيزة,Unaizah,منطقة القصيم,,,
SA-04-003,الرس,Ar Rass,منطقة القصيم,,,
SA-04-004,المذنب,Al Mithnab,منطقة القصيم,,,
SA-04-005,البكيرية,Al Bukayriyah,منطقة القصيم,,,
SA-04-006,البدائع,Al Badai,منطقة القصيم,,,
SA-04-007,الأسياح,Al Asyah,منطقة القصيم,,,
SA-04-008,النبهانية,An Nabhaniyah,منطقة القصيم,,,
SA-04-009,الشماسية,Ash Shimasiyah,منطقة القصيم,,,
SA-04-010,عيون الجواء,Uyun al Jawa,منطقة القصيم,,,
SA-04-011,رياض الخبراء,Riyad al Khabra,منطقة القصيم,,,
SA-05-001,الدمام,Dammam,المنطقة الشرقية,,,
SA-05-002,الخبر,Al Khobar,المنطقة الشرقية,,,
SA-05-003,الظهران,Dhahran,المنطقة الشرقية,,,
SA-05-004,الأحساء,Al Ahsa,المنطقة الشرقية,,,
SA-05-005,القطيف,Qatif,المنطقة الشرقية,,,
SA-05-006,الجبيل,Jubail,المنطقة الشرقية,,,
SA-05-007,الخفجي,Al Khafji,المنطقة الشرقية,,,
SA-05-008,حفر الباطن,Hafar al Batin,المنطقة الشرقية,,,
SA-05-009,بقيق,Buqayq,المنطقة الشرقية,,,
SA-05-010,النعيرية,An Nuayriyah,المنطقة الشرقية,,,
SA-05-011,قرية العليا,Qaryat al Ulya,المنطقة الشرقية,,,
SA-05-012,الاحساء,Al Hasa,المنطقة الشرقية,,,
SA-06-001,أبها,Abha,منطقة عسير,,,
SA-06-002,خميس مشيط,Khamis Mushait,منطقة عسير,,,
SA-06-003,بيشة,Bisha,منطقة عسير,,,
SA-06-004,النماص,An Namas,منطقة عسير,,,
SA-06-005,محايل عسير,Muhayil,منطقة عسير,,,
SA-06-006,تثليث,Tathlith,منطقة عسير,,,
SA-06-007,ظهران الجنوب,Dhahran al Janub,منطقة عسير,,,
SA-06-008,تنومة,Tanumah,منطقة عسير,,,
SA-06-009,سراة عبيدة,Sarat Abidah,منطقة عسير,,,
SA-06-010,رجال المع,Rijal Almaa,منطقة عسير,,,
SA-06-011,بللسمر,Balqarn,منطقة عسير,,,
SA-06-012,البرك,Al Birk,منطقة عسير,,,
SA-07-001,تبوك,Tabuk,منطقة تبوك,,,
SA-07-002,الوجه,Al Wajh,منطقة تبوك,,,
SA-07-003,ضبا,Duba,منطقة تبوك,,,
SA-07-004,تيماء,Tayma,منطقة تبوك,,,
SA-07-005,أملج,Umluj,منطقة تبوك,,,
SA-07-006,حقل,Haql,منطقة تبوك,,,
SA-08-001,حائل,Hail,منطقة حائل,,,
SA-08-002,بقعاء,Baqaa,منطقة حائل,,,
SA-08-003,الغزالة,Al Ghazalah,منطقة حائل,,,
SA-08-004,الشنان,Ash Shinan,منطقة حائل,,,
SA-08-005,الحائط,Al Hait,منطقة حائل,,,
SA-08-006,السليمي,As Sulaymi,منطقة حائل,,,
SA-08-007,الشملي,Ash Shamli,منطقة حائل,,,
SA-08-008,موقق,Mawqaq,منطقة حائل,,,
SA-09-001,عرعر,Arar,منطقة الحدود الشمالية,,,
SA-09-002,رفحاء,Rafha,منطقة الحدود الشمالية,,,
SA-09-003,طريف,Turaif,منطقة الحدود الشمالية,,,
SA-09-004,العويقيلة,Al Uwayqilah,منطقة الحدود الشمالية,,,
SA-10-001,سكاكا,Sakaka,منطقة الجوف,,,
SA-10-002,القريات,Al Qurayyat,منطقة الجوف,,,
SA-10-003,دومة الجندل,Dawmat al Jandal,منطقة الجوف,,,
SA-10-004,طبرجل,Tabarjal,منطقة الجوف,,,
SA-11-001,جازان,Jazan,منطقة جازان,,,
SA-11-002,صبيا,Sabya,منطقة جازان,,,
SA-11-003,أبو عريش,Abu Arish,منطقة جازان,,,
SA-11-004,صامطة,Samtah,منطقة جازان,,,
SA-11-005,بيش,Bish,منطقة جازان,,,
SA-11-006,الدرب,Ad Darb,منطقة جازان,,,
SA-11-007,العارضة,Al Aridah,منطقة جازان,,,
SA-11-008,ضمد,Dhamad,منطقة جازان,,,
SA-11-009,الريث,Ar Rayth,منطقة جازان,,,
SA-11-010,فرسان,Farasan,منطقة جازان,,,
SA-11-011,الحريق,Al Harith,منطقة جازان,,,
SA-11-012,أحد المسارحة,Ahad al Musarihah,منطقة جازان,,,
SA-12-001,نجران,Najran,منطقة نجران,,,
SA-12-002,شرورة,Sharurah,منطقة نجران,,,
SA-12-003,حبونا,Hubuna,منطقة نجران,,,
SA-12-004,بدر الجنوب,Badr al Janub,منطقة نجران,,,
SA-12-005,يثرب,Yathrib,منطقة نجران,,,
SA-12-006,خباش,Khubash,منطقة نجران,,,
SA-12-007,الخرخير,Al Kharkhir,منطقة نجران,,,
SA-12-008,الدغارير,Ad Dagarir,منطقة نجران,,,
SA-13-001,الباحة,Al Baha,منطقة الباحة,,,
SA-13-002,بلجرشي,Baljurashi,منطقة الباحة,,,
SA-13-003,المندق,Al Mindak,منطقة الباحة,,,
SA-13-004,المخواة,Al Makhwah,منطقة الباحة,,,
SA-13-005,قلوة,Qilwah,منطقة الباحة,,,
SA-13-006,العقيق,Aqiq,منطقة الباحة,,,
SA-13-007,حلباء,Halaba,منطقة الباحة,,,
AE-01-001,دبي,Dubai,إمارة دبي,,,
AE-01-002,جبل علي,Jebel Ali,إمارة دبي,,,
AE-01-003,المدينة العالمية,International City,إمارة دبي,,,
AE-02-001,أبوظبي,Abu Dhabi,إمارة أبوظبي,,,
AE-02-002,العين,Al Ain,إمارة أبوظبي,,,
AE-02-003,مدينة زايد,Madinat Zayed,إمارة أبوظبي,,,
AE-02-004,دلما,Dalma,إمارة أبوظبي,,,
AE-03-001,الشارقة,Sharjah,إمارة الشارقة,,,
AE-03-002,خورفكان,Khor Fakkan,إمارة الشارقة,,,
AE-03-003,الذيد,Dhaid,إمارة الشارقة,,,
AE-03-004,كلباء,Kalba,إمارة الشارقة,,,
AE-04-001,عجمان,Ajman,إمارة عجمان,,,
AE-04-002,مصفوت,Masfout,إمارة عجمان,,,
AE-05-001,أم القيوين,Umm Al Quwain,إمارة أم القيوين,,,
AE-05-002,الفلج,Al Falaj,إمارة أم القيوين,,,
AE-06-001,رأس الخيمة,Ras Al Khaimah,إمارة رأس الخيمة,,,
AE-06-002,الرمس,Al Rams,إمارة رأس الخيمة,,,
AE-06-003,شعم,Shaam,إمارة رأس الخيمة,,,
AE-07-001,الفجيرة,Fujairah,إمارة الفجيرة,,,
AE-07-002,دبا,Dibba,إمارة الفجيرة,,,
AE-07-003,مسافي,Masafi,إمارة الفجيرة,,,
KW-01-001,الكويت,Kuwait City,محافظة العاصمة,,,
KW-01-002,شرق,Sharq,محافظة العاصمة,,,
KW-01-003,المرقاب,Mirqab,محافظة العاصمة,,,
KW-02-001,حولي,Hawalli,محافظة حولي,,,
KW-02-002,السالمية,Salmiya,محافظة حولي,,,
KW-02-003,الجابرية,Jabriya,محافظة حولي,,,
KW-03-001,الفروانية,Farwaniya,محافظة الفروانية,,,
KW-03-002,العبدلي,Abdali,محافظة الفروانية,,,
KW-03-003,الأندلس,Andalus,محافظة الفروانية,,,
KW-04-001,مبارك الكبير,Mubarak Al-Kabeer,محافظة مبارك الكبير,,,
KW-04-002,أبو فطيرة,Abu Faiterah,محافظة مبارك الكبير,,,
KW-05-001,الأحمدي,Ahmadi,محافظة الأحمدي,,,
KW-05-002,الفحيحيل,Fahaheel,محافظة الأحمدي,,,
KW-05-003,ميناء الأحمدي,Ahmadi Port,محافظة الأحمدي,,,
KW-06-001,الجهراء,Jahra,محافظة الجهراء,,,
KW-06-002,السالمي,Al Salmi,محافظة الجهراء,,,
KW-06-003,الواحة,Al Waha,محافظة الجهراء,,,
QA-01-001,الدوحة,Doha,بلدية الدوحة,,,
QA-01-002,الريان,Al Rayyan,بلدية الدوحة,,,
QA-01-003,الوكرة,Al Wakra,بلدية الدوحة,,,
QA-02-001,الشحانية,Al Shahaniya,بلدية الريان,,,
QA-02-002,روضة راشد,Rawdat Rashed,بلدية الريان,,,
