model_code,risk_factor_code,score
small_dental_clinic_model,competition,65
small_dental_clinic_model,regulatory,40
small_dental_clinic_model,demand,50
small_dental_clinic_model,location,60
small_dental_clinic_model,staff,45
small_dental_clinic_model,technology,35
small_dental_clinic_model,financial,55
small_dental_clinic_model,reputation,40
medium_dental_clinic_model,competition,60
medium_dental_clinic_model,regulatory,40
medium_dental_clinic_model,demand,55
medium_dental_clinic_model,location,55
medium_dental_clinic_model,staff,45
medium_dental_clinic_model,technology,35
medium_dental_clinic_model,financial,50
medium_dental_clinic_model,reputation,40
large_dental_clinic_model,competition,55
large_dental_clinic_model,regulatory,40
large_dental_clinic_model,demand,60
large_dental_clinic_model,location,50
large_dental_clinic_model,staff,40
large_dental_clinic_model,technology,35
large_dental_clinic_model,financial,45
large_dental_clinic_model,reputation,45
financial_banking_banking_activity_small_model,competition,100
financial_banking_banking_activity_small_model,regulatory,75
financial_banking_banking_activity_small_model,demand,55
financial_banking_banking_activity_small_model,location,60
financial_banking_banking_activity_small_model,staff,50
financial_banking_banking_activity_small_model,technology,40
financial_banking_banking_activity_small_model,financial,100
financial_banking_banking_activity_small_model,reputation,45
financial_banking_banking_activity_medium_model,competition,100
financial_banking_banking_activity_medium_model,regulatory,70
financial_banking_banking_activity_medium_model,demand,50
financial_banking_banking_activity_medium_model,location,55
financial_banking_banking_activity_medium_model,staff,45
financial_banking_banking_activity_medium_model,technology,35
financial_banking_banking_activity_medium_model,financial,100
financial_banking_banking_activity_medium_model,reputation,40
financial_banking_banking_activity_large_model,competition,100
financial_banking_banking_activity_large_model,regulatory,65
financial_banking_banking_activity_large_model,demand,45
financial_banking_banking_activity_large_model,location,50
financial_banking_banking_activity_large_model,staff,40
financial_banking_banking_activity_large_model,technology,30
financial_banking_banking_activity_large_model,financial,100
financial_banking_banking_activity_large_model,reputation,35
financial_banking_insurance_activity_small_model,competition,100
financial_banking_insurance_activity_small_model,regulatory,75
financial_banking_insurance_activity_small_model,demand,55
financial_banking_insurance_activity_small_model,location,60
financial_banking_insurance_activity_small_model,staff,50
financial_banking_insurance_activity_small_model,technology,40
financial_banking_insurance_activity_small_model,financial,100
financial_banking_insurance_activity_small_model,reputation,45
financial_banking_insurance_activity_medium_model,competition,100
financial_banking_insurance_activity_medium_model,regulatory,70
financial_banking_insurance_activity_medium_model,demand,50
financial_banking_insurance_activity_medium_model,location,55
financial_banking_insurance_activity_medium_model,staff,45
financial_banking_insurance_activity_medium_model,technology,35
financial_banking_insurance_activity_medium_model,financial,100
financial_banking_insurance_activity_medium_model,reputation,40
financial_banking_insurance_activity_large_model,competition,100
financial_banking_insurance_activity_large_model,regulatory,65
financial_banking_insurance_activity_large_model,demand,45
financial_banking_insurance_activity_large_model,location,50
financial_banking_insurance_activity_large_model,staff,40
financial_banking_insurance_activity_large_model,technology,30
financial_banking_insurance_activity_large_model,financial,100
financial_banking_insurance_activity_large_model,reputation,35
financial_banking_fintech_activity_small_model,competition,100
financial_banking_fintech_activity_small_model,regulatory,75
financial_banking_fintech_activity_small_model,demand,55
financial_banking_fintech_activity_small_model,location,60
financial_banking_fintech_activity_small_model,staff,50
financial_banking_fintech_activity_small_model,technology,40
financial_banking_fintech_activity_small_model,financial,100
financial_banking_fintech_activity_small_model,reputation,45
financial_banking_fintech_activity_medium_model,competition,100
financial_banking_fintech_activity_medium_model,regulatory,70
financial_banking_fintech_activity_medium_model,demand,50
financial_banking_fintech_activity_medium_model,location,55
financial_banking_fintech_activity_medium_model,staff,45
financial_banking_fintech_activity_medium_model,technology,35
financial_banking_fintech_activity_medium_model,financial,100
financial_banking_fintech_activity_medium_model,reputation,40
financial_banking_fintech_activity_large_model,competition,100
financial_banking_fintech_activity_large_model,regulatory,65
financial_banking_fintech_activity_large_model,demand,45
financial_banking_fintech_activity_large_model,location,50
financial_banking_fintech_activity_large_model,staff,40
financial_banking_fintech_activity_large_model,technology,30
financial_banking_fintech_activity_large_model,financial,100
financial_banking_fintech_activity_large_model,reputation,35
financial_banking_investment_activity_small_model,competition,100
financial_banking_investment_activity_small_model,regulatory,75
financial_banking_investment_activity_small_model,demand,55
financial_banking_investment_activity_small_model,location,60
financial_banking_investment_activity_small_model,staff,50
financial_banking_investment_activity_small_model,technology,40
financial_banking_investment_activity_small_model,financial,100
financial_banking_investment_activity_small_model,reputation,45
financial_banking_investment_activity_medium_model,competition,100
financial_banking_investment_activity_medium_model,regulatory,70
financial_banking_investment_activity_medium_model,demand,50
financial_banking_investment_activity_medium_model,location,55
financial_banking_investment_activity_medium_model,staff,45
financial_banking_investment_activity_medium_model,technology,35
financial_banking_investment_activity_medium_model,financial,100
financial_banking_investment_activity_medium_model,reputation,40
financial_banking_investment_activity_large_model,competition,100
financial_banking_investment_activity_large_model,regulatory,65
financial_banking_investment_activity_large_model,demand,45
financial_banking_investment_activity_large_model,location,50
financial_banking_investment_activity_large_model,staff,40
financial_banking_investment_activity_large_model,technology,30
financial_banking_investment_activity_large_model,financial,100
financial_banking_investment_activity_large_model,reputation,35
insurance_banking_activity_small_model,competition,100
insurance_banking_activity_small_model,regulatory,75
insurance_banking_activity_small_model,demand,55
insurance_banking_activity_small_model,location,60
insurance_banking_activity_small_model,staff,50
insurance_banking_activity_small_model,technology,40
insurance_banking_activity_small_model,financial,100
insurance_banking_activity_small_model,reputation,45
insurance_banking_activity_medium_model,competition,100
insurance_banking_activity_medium_model,regulatory,70
insurance_banking_activity_medium_model,demand,50
insurance_banking_activity_medium_model,location,55
insurance_banking_activity_medium_model,staff,45
insurance_banking_activity_medium_model,technology,35
insurance_banking_activity_medium_model,financial,100
insurance_banking_activity_medium_model,reputation,40
insurance_banking_activity_large_model,competition,100
insurance_banking_activity_large_model,regulatory,65
insurance_banking_activity_large_model,demand,45
insurance_banking_activity_large_model,location,50
insurance_banking_activity_large_model,staff,40
insurance_banking_activity_large_model,technology,30
insurance_banking_activity_large_model,financial,100
insurance_banking_activity_large_model,reputation,35
insurance_insurance_activity_small_model,competition,100
insurance_insurance_activity_small_model,regulatory,75
insurance_insurance_activity_small_model,demand,55
insurance_insurance_activity_small_model,location,60
insurance_insurance_activity_small_model,staff,50
insurance_insurance_activity_small_model,technology,40
insurance_insurance_activity_small_model,financial,100
insurance_insurance_activity_small_model,reputation,45
insurance_insurance_activity_medium_model,competition,100
insurance_insurance_activity_medium_model,regulatory,70
insurance_insurance_activity_medium_model,demand,50
insurance_insurance_activity_medium_model,location,55
insurance_insurance_activity_medium_model,staff,45
insurance_insurance_activity_medium_model,technology,35
insurance_insurance_activity_medium_model,financial,100
insurance_insurance_activity_medium_model,reputation,40
insurance_insurance_activity_large_model,competition,100
insurance_insurance_activity_large_model,regulatory,65
insurance_insurance_activity_large_model,demand,45
insurance_insurance_activity_large_model,location,50
insurance_insurance_activity_large_model,staff,40
insurance_insurance_activity_large_model,technology,30
insurance_insurance_activity_large_model,financial,100
insurance_insurance_activity_large_model,reputation,35
insurance_fintech_activity_small_model,competition,100
insurance_fintech_activity_small_model,regulatory,75
insurance_fintech_activity_small_model,demand,55
insurance_fintech_activity_small_model,location,60
insurance_fintech_activity_small_model,staff,50
insurance_fintech_activity_small_model,technology,40
insurance_fintech_activity_small_model,financial,100
insurance_fintech_activity_small_model,reputation,45
insurance_fintech_activity_medium_model,competition,100
insurance_fintech_activity_medium_model,regulatory,70
insurance_fintech_activity_medium_model,demand,50
insurance_fintech_activity_medium_model,location,55
insurance_fintech_activity_medium_model,staff,45
insurance_fintech_activity_medium_model,technology,35
insurance_fintech_activity_medium_model,financial,100
insurance_fintech_activity_medium_model,reputation,40
insurance_fintech_activity_large_model,competition,100
insurance_fintech_activity_large_model,regulatory,65
insurance_fintech_activity_large_model,demand,45
insurance_fintech_activity_large_model,location,50
insurance_fintech_activity_large_model,staff,40
insurance_fintech_activity_large_model,technology,30
insurance_fintech_activity_large_model,financial,100
insurance_fintech_activity_large_model,reputation,35
insurance_investment_activity_small_model,competition,100
insurance_investment_activity_small_model,regulatory,75
insurance_investment_activity_small_model,demand,55
insurance_investment_activity_small_model,location,60
insurance_investment_activity_small_model,staff,50
insurance_investment_activity_small_model,technology,40
insurance_investment_activity_small_model,financial,100
insurance_investment_activity_small_model,reputation,45
insurance_investment_activity_medium_model,competition,100
insurance_investment_activity_medium_model,regulatory,70
insurance_investment_activity_medium_model,demand,50
insurance_investment_activity_medium_model,location,55
insurance_investment_activity_medium_model,staff,45
insurance_investment_activity_medium_model,technology,35
insurance_investment_activity_medium_model,financial,100
insurance_investment_activity_medium_model,reputation,40
insurance_investment_activity_large_model,competition,100
insurance_investment_activity_large_model,regulatory,65
insurance_investment_activity_large_model,demand,45
insurance_investment_activity_large_model,location,50
insurance_investment_activity_large_model,staff,40
insurance_investment_activity_large_model,technology,30
insurance_investment_activity_large_model,financial,100
insurance_investment_activity_large_model,reputation,35
awqaf_consulting_activity_small_model,competition,65
awqaf_consulting_activity_small_model,regulatory,45
awqaf_consulting_activity_small_model,demand,55
awqaf_consulting_activity_small_model,location,60
awqaf_consulting_activity_small_model,staff,50
awqaf_consulting_activity_small_model,technology,40
awqaf_consulting_activity_small_model,financial,55
awqaf_consulting_activity_small_model,reputation,45
awqaf_consulting_activity_medium_model,competition,60
awqaf_consulting_activity_medium_model,regulatory,40
awqaf_consulting_activity_medium_model,demand,50
awqaf_consulting_activity_medium_model,location,55
awqaf_consulting_activity_medium_model,staff,45
awqaf_consulting_activity_medium_model,technology,35
awqaf_consulting_activity_medium_model,financial,50
awqaf_consulting_activity_medium_model,reputation,40
awqaf_consulting_activity_large_model,competition,55
awqaf_consulting_activity_large_model,regulatory,35
awqaf_consulting_activity_large_model,demand,45
awqaf_consulting_activity_large_model,location,50
awqaf_consulting_activity_large_model,staff,40
awqaf_consulting_activity_large_model,technology,30
awqaf_consulting_activity_large_model,financial,45
awqaf_consulting_activity_large_model,reputation,35
awqaf_maintenance_activity_small_model,competition,65
awqaf_maintenance_activity_small_model,regulatory,45
awqaf_maintenance_activity_small_model,demand,55
awqaf_maintenance_activity_small_model,location,60
awqaf_maintenance_activity_small_model,staff,50
awqaf_maintenance_activity_small_model,technology,40
