activity_detail_code,requirement_name_ar,requirement_name_en,issuing_authority,estimated_cost,mandatory,sort_order
medium_dental_clinic,ترخيص وزارة الصحة,Ministry of Health License,Ministry of Health,15000,true,1
medium_dental_clinic,ترخيص بلدية,Minicipality License,Municipality,5000,true,2
medium_dental_clinic,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,3
medium_dental_clinic,ترخيص مزاولة مهنة طبيب أسنان,Dentist Practice License,Saudi Commission for Health Specialties,3000,true,4
medium_dental_clinic,اعتماد مكافحة العدوى,Infection Control Accreditation,Ministry of Health,4000,true,5
medium_dental_clinic,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,8000,true,6
financial_banking_banking_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,7
financial_banking_banking_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,8
financial_banking_banking_activity_medium,ترخيص من البنك المركزي,Central Bank License,SAMA,50000,true,9
financial_banking_banking_activity_medium,اعتماد مؤسسي,Institutional Approval,Ministry of Finance,15000,true,10
financial_banking_insurance_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,11
financial_banking_insurance_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,12
financial_banking_insurance_activity_medium,ترخيص من البنك المركزي,Central Bank License,SAMA,50000,true,13
financial_banking_insurance_activity_medium,اعتماد مؤسسي,Institutional Approval,Ministry of Finance,15000,true,14
financial_banking_fintech_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,15
financial_banking_fintech_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,16
financial_banking_fintech_activity_medium,ترخيص من البنك المركزي,Central Bank License,SAMA,50000,true,17
financial_banking_fintech_activity_medium,اعتماد مؤسسي,Institutional Approval,Ministry of Finance,15000,true,18
financial_banking_investment_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,19
financial_banking_investment_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,20
financial_banking_investment_activity_medium,ترخيص من البنك المركزي,Central Bank License,SAMA,50000,true,21
financial_banking_investment_activity_medium,اعتماد مؤسسي,Institutional Approval,Ministry of Finance,15000,true,22
insurance_banking_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,23
insurance_banking_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,24
insurance_banking_activity_medium,ترخيص من البنك المركزي,Central Bank License,SAMA,50000,true,25
insurance_banking_activity_medium,اعتماد مؤسسي,Institutional Approval,Ministry of Finance,15000,true,26
insurance_insurance_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,27
insurance_insurance_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,28
insurance_insurance_activity_medium,ترخيص من البنك المركزي,Central Bank License,SAMA,50000,true,29
insurance_insurance_activity_medium,اعتماد مؤسسي,Institutional Approval,Ministry of Finance,15000,true,30
insurance_fintech_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,31
insurance_fintech_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,32
insurance_fintech_activity_medium,ترخيص من البنك المركزي,Central Bank License,SAMA,50000,true,33
insurance_fintech_activity_medium,اعتماد مؤسسي,Institutional Approval,Ministry of Finance,15000,true,34
insurance_investment_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,35
insurance_investment_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,36
insurance_investment_activity_medium,ترخيص من البنك المركزي,Central Bank License,SAMA,50000,true,37
insurance_investment_activity_medium,اعتماد مؤسسي,Institutional Approval,Ministry of Finance,15000,true,38
awqaf_consulting_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,39
awqaf_consulting_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,40
awqaf_consulting_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,41
awqaf_consulting_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,42
awqaf_maintenance_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,43
awqaf_maintenance_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,44
awqaf_maintenance_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,45
awqaf_maintenance_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,46
awqaf_cleaning_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,47
awqaf_cleaning_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,48
awqaf_cleaning_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,49
awqaf_cleaning_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,50
awqaf_security_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,51
awqaf_security_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,52
awqaf_security_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,53
awqaf_security_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,54
education_schools_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,55
education_schools_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,56
education_schools_activity_medium,ترخيص وزارة التعليم,Ministry of Education License,Ministry of Education,10000,true,57
education_schools_activity_medium,اعتماد برامج تدريبية,Training Program Accreditation,TVTC,5000,true,58
education_training_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,59
education_training_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,60
education_training_activity_medium,ترخيص وزارة التعليم,Ministry of Education License,Ministry of Education,10000,true,61
education_training_activity_medium,اعتماد برامج تدريبية,Training Program Accreditation,TVTC,5000,true,62
education_universities_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,63
